時間,コメント
4082.167,www
4083.831,一旦空振りか
4105.142,こん
4130.134,サムネは関係ない感じ？
4133.797,つー
4140.032,サムネはバグ
4140.174,ないすー！
4142.19,うおおお
4142.369,uooooo
4142.42,つっよ
4143.2,うおおおおお
4143.699,ナイス！！！
4144.644,ギアさ～ん
4144.661,ないす！！！
4145.174,おおおお！
4145.327,つんよ！！！！
4145.404,あ
4145.96,おー
4146.806,ギアさんうまあ！
4147.277,つっよ
4150.907,りりむww
4151.01,りりむ！？
4151.093,ないすぅ！
4152.038,落下ｗｗ
4152.971,落下は草
4154.644,ないす
4155.337,え？
4156.497,りりむちゃんw
4157.318,落下・・・？
4157.712,どうやって？www
4157.917,いいむ・・・
4158.353,wwww
4162.378,落下死マ？ｗ
4166.965,さすがFNC
4167.309,Apexやってる？りりむ
4199.357,グレ来て逃げる→タワーから落下かな?
4201.822,www
4204.15,笑い声ｗｗ
4205.492,悪い笑い出てるw
4205.761,笑い方悪すぎ
4206.075,笑い方ｗｗｗ
4206.394,笑い方wwww
4206.739,ココロオドってるわ
4206.956,声w
4207.362,わっるいやついたなw
4207.612,笑い方ww
4207.734,笑い方よ
4207.779,笑い方w
4208.457,www
4209.42,踊ってるわ
4209.643,笑い方ｗｗ
4210.229,笑い方やばｗ
4211.365,悪魔みたいな笑い方おったけど
4237.764,わん
4241.161,ナイスワン
4250.48,ｗｗｗ
4252.128,ｗｗｗｗｗｗｗ
4252.483,おしぃーnt
4252.636,nt
4255.958,nt!
4256.225,nt！ｗ
4256.481,ntnt
4256.522,ｗｗ
4256.847,nt！w
4256.878,wwwww
4256.931,なんだ今のwww
4257.026,nt
4257.112,ナイスワン
4259.857,nt
4261.277,nt
4261.99,nt!
4262.661,nt!w
4270.26,nt
4272.038,nt！ww
4278.474,キャラコン…
4283.31,おじいちゃん反応速度が・・・
4290.185,あ
4293.117,www
4294.931,おっと
4301.634,ないすわん！
4302.648,わん
4303.126,ナイスワン
4304.537,ナイスワン
4308.496,ポキ農こっちチーム全員いるのか
4313.012,わん
4322.77,ないすつー！
4326.306,いいよー
4326.545,つー
4327.443,ナイスツー
4327.684,ワン
4331.114,ないすー
4334.872,ないす！
4338.018,ナイスナイス
4341.532,ちぐちゃんが心躍ってるなぁw
4342.944,www
4344.097,ないすーー！！
4344.871,wwww
4347.948,www
4349.496,www
4350.219,wwwww
4351.647,ココロオドル
4354.554,ココロオドル？！
4364.338,ひなーのも心躍らせてこ
4368.394,ココロオドってるなあｗ
4369.565,ココロオドルアンコール沸かせ
4378.333,www
4382.266,www
4441.834,ひなーの大人しくない？
4450.75,www
4450.691,めっちゃ真面目なのかミュートなのか
4460.667,www
4460.665,www
4464.646,なーいす
4465.58,ないすー！
4468.015,ｗｗ
4471.939,ないす！
4472.273,ないすー
4475.269,ないす！
4477.645,wwwww
4478.342,おおｗｗ
4479.335,いいねw
4479.702,乗ってきな的なｗｗ
4479.957,ここは心踊るところか
4481.352,ｗｗ
4481.489,wwww
4482.064,ｗｗｗ
4484.346,ないす～～～～～
4485.202,www
4486.394,wwwww
4487.367,ひなーの上手いね
4488.119,いいやんいいやん！
4496.004,ゴリちゃん歌乗ってくれるからいいよなぁww
4520.23,どぅーんは村上ジョージなんよ
4525.391,めがねかわいい
4541.83,わん
4546.794,ワン
4547.421,ないすわん！
4549.271,ん？
4554.631,www
4559.953,そうだよねそうだよね？
4560.463,キモくないか
4560.77,g!?!?!
4561.05,きもくはないか
4563.889,くない
4567.529,ナイスツー
4572.494,あるよ！
4574.673,あるよー
4580.527,うおおおおおおおお！
4581.628,まにあわんかー
4581.903,おしーい
4582.903,うま
4583.123,おしいいいいい
4583.547,おおおおおお
4584.16,おしぃnt
4584.366,うまい
4584.564,おしいいnt
4585.115,おおおお！！おしーーーー
4585.366,おしぃー；；
4585.601,おっしいいーー
4585.766,おしいいいいい
4585.951,おしいいい
4585.994,nt
4586.024,おしいいいいいい
4586.84,いいえいむ
4587.027,おしいい
4587.156,おしい！nt！
4587.47,おしい！
4587.727,nt
4587.755,つよ
4588.355,おしいーーー
4588.734,ないすうう
4588.823,つんよ
4589.307,nt
4589.31,うま
4590.266,nt
4590.886,nt!
4591.98,おっしぃぃぃ
4592.177,おしいーーー
4592.678,ナイスだけど
4593.196,ナイス削りきりよ！
4593.364,おしい！
4593.776,nt!
4593.891,wwwwwwww
4593.934,つよッ！！
4594.745,おしいいい
4594.884,ntnt
4597.208,nt!
4597.198,おしいいいい
4598.55,www
4599.202,nt
4600.719,シンプルに感謝
4601.663,www
4602.042,口説かれるのやめて
4602.083,nt！
4602.693,wwww
4602.906,wwww
4604.71,イチャイチャ…
4605.43,www
4607.03,ひなーの歯茎です
4607.264,おしいけど
4607.476,www
4609.024,www
4620.73,強かったなぁ
